,name,id,start_date,kilojoules
53,Morning Run,14463939601,2025-05-13T07:18:08Z,467.2
54,Afternoon Run,14446878617,2025-05-11T13:06:14Z,321.8
55,Afternoon Run,14425356169,2025-05-09T12:37:12Z,473.2
56,New 5k PR 🎉,14406606206,2025-05-07T13:32:10Z,459.4
57,Miss PB...,14386025142,2025-05-05T15:33:41Z,461.4
58,Afternoon Run,14365889461,2025-05-03T14:25:09Z,647.0
59,Afternoon Run,14353861867,2025-05-02T11:53:41Z,654.3
60,Afternoon Run,14321852871,2025-04-29T12:39:57Z,474.5
61,Chill 5k,14312012122,2025-04-28T13:43:08Z,463.7
62,Afternoon Run,14295308324,2025-04-26T12:43:02Z,459.3
63,5km sub 24,14250549284,2025-04-22T10:31:46Z,462.1
64,Test allure 4:30 pt.2,14234124909,2025-04-20T15:08:01Z,230.6
65,Test allure 4:30 pt.1,14234124267,2025-04-20T14:53:47Z,226.7
66,Afternoon Run,14223985631,2025-04-19T14:04:22Z,943.2
67,Afternoon Run,14194133150,2025-04-16T13:15:32Z,464.6
68,Afternoon Run,14175557185,2025-04-14T15:19:54Z,472.3
69,First Toinz's run of 2025,14164796198,2025-04-13T11:34:33Z,298.3
70,5km EF,14147587813,2025-04-11T16:20:45Z,471.8
71,cardio after workout,14106868843,2025-04-07T14:04:44Z,281.3
72,Chill 5k,14088066118,2025-04-05T14:12:36Z,473.8
73,Afternoon Run,14078305148,2025-04-04T14:12:20Z,457.6
74,ez,14068494201,2025-04-03T13:40:10Z,480.5
75,Afternoon Run,14061678650,2025-04-02T14:44:38Z,465.8
76,Afternoon Run,14038383362,2025-03-31T12:46:45Z,394.8
77,10k in pain,14020823219,2025-03-29T13:41:13Z,947.3
78,Afternoon Run,14002587041,2025-03-27T14:30:01Z,464.6
79,1h run,13993907029,2025-03-26T15:39:30Z,988.4
80,Lunch Run,13972077955,2025-03-24T11:11:08Z,470.7
81,Afternoon Run,13954304186,2025-03-22T12:52:39Z,764.3
82,First 5k,13943708973,2025-03-21T10:19:01Z,478.3
83,Afternoon Run,13927346809,2025-03-19T14:44:23Z,935.5
84,Lunch Run,13906587182,2025-03-17T10:56:18Z,968.0
85,Evening Run,13901459544,2025-03-16T17:21:03Z,341.2
